0,-9.59484,-9.59445,-9.59445,-9.635
1,-9.552,-9.5494,-9.5494,-9.635
2,-9.49963,-9.49933,-9.49933,-9.59445
3,-9.44673,-9.44371,-9.44371,-9.5494
4,-9.38205,-9.3819,-9.3819,-9.49933
5,-9.31672,-9.31323,-9.31323,-9.44371
6,-9.24448,-9.23693,-9.23693,-9.3819
7,-9.15616,-9.15215,-9.15215,-9.31323
8,-9.06695,-9.05795,-9.05795,-9.23693
9,-8.95788,-8.95328,-8.95328,-9.15215
10,-8.8477,-8.83698,-8.83698,-9.05795
11,-8.713,-8.70776,-8.70776,-8.95328
12,-8.57693,-8.56419,-8.56419,-8.83698
13,-8.41057,-8.40466,-8.40466,-8.70776
14,-8.24253,-8.2274,-8.2274,-8.56419
15,-8.03708,-8.03045,-8.03045,-8.40466
16,-7.82955,-7.81166,-7.81162,-8.22731
17,-7.57583,-7.56849,-7.56899,-7.64182
18,-7.31953,-7.33457,-7.29831,-7.56483
19,-7.12416,-7.13265,-7.09239,-7.11629
20,-9.55356,-9.5494,-9.5494,-9.59445
21,-9.50874,-9.49933,-9.49933,-9.59445
22,-9.45108,-9.44371,-9.44371,-9.5494
23,-9.38375,-9.3819,-9.3819,-9.49933
24,-9.31324,-9.31323,-9.31323,-9.44371
25,-9.24976,-9.23693,-9.23693,-9.3819
26,-9.16719,-9.15215,-9.15215,-9.31323
27,-9.06784,-9.05795,-9.05795,-9.23693
28,-8.95645,-8.95328,-8.95328,-9.15215
29,-8.8394,-8.83698,-8.83698,-9.05795
30,-8.71461,-8.70776,-8.70776,-8.95328
31,-8.56616,-8.56419,-8.56419,-8.83698
32,-8.41761,-8.40466,-8.40466,-8.70776
33,-8.23892,-8.2274,-8.2274,-8.56419
34,-8.0469,-8.03045,-8.03045,-8.40466
35,-7.85066,-7.81162,-7.81161,-8.2274
36,-7.6083,-7.56848,-7.56847,-8.03045
37,-7.33194,-7.29831,-7.31215,-7.5786
38,-7.08404,-7.0643,-6.99812,-7.42429
39,-6.87577,-6.91493,-6.71177,-6.88776
40,-9.50768,-9.49933,-9.49933,-9.5493
41,-9.45007,-9.44371,-9.44371,-9.54835
42,-9.38686,-9.3819,-9.3819,-9.49915
